"GUID","Catalogusnummer","Beschrijving","notities","spatials","categorieen","Datering_vroegst","Datering_laatst","licentie","Auteursrechthouder","Vervaardiger","cxtwd_uitgdruk","Afmeting","Afmeting_2"
"EB4C6B0D06F55D6C852DA042CAA9CD34","163759","Interieur van het locomotiefdepot Rotterdam Feyenoord van de N.S. aan de Hilledijk te Rotterdam: grote zaal van de S.O.V. (Spoorweg Onthouders Vereniging).","Afbeelding behoort tot de Collectie De Pater. Literatuur: ""Een oase in het loc.-depôt Rotterdam-Fijenoord"", in: Nieuw Spoor, juni 1948, blz. 12 (bibl HUA NST 9, jrg. 1948)  ","","","01-05-1948","31-05-1948","Publiek Domein 1.0",,"Moesman, F.A. (Nederlandse Spoorwegen), fotograaf",,"breedte 23 cm","hoogte 17 cm"
"C48274D8EA005CA29438E9086C89E2F1","152557","Interieur van het N.S.-station Rotterdam Zuid te Rotterdam: hal, met loketten.","  ","","https://commons.wikimedia.org/wiki/Category:163_Rotterdam_Lombardijen-Rotterdam_CS|https://commons.wikimedia.org/wiki/Category:Railway_lines_in_the_Netherlands_by_Geocode|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","28-04-1958","28-04-1958","CC BY 4.0","Nederlandse Spoorwegen","Hessels, L. (Nederlandse Spoorwegen), fotograaf",,"breedte 13 cm","hoogte 13 cm"
"7A16BD5E0B5A52978E24B888644EA613","165617","Afbeelding van de Spoorpont II van Rederij Koppe met enkele goederenwagens en een locomotor (serie 200/300) van de N.S. op het IJ tussen de Rietlanden en Amsterdam Noord.","  ","","https://commons.wikimedia.org/wiki/Category:483_Amsterdam_Rietlanden|https://commons.wikimedia.org/wiki/Category:Freight|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands|https://commons.wikimedia.org/wiki/Category:Vessels","13-03-1957","13-03-1957","CC0 1.0","Nederlandse Spoorwegen","Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"83CED09D0E3F5049B220F4CBE23FCA6A","163297","Afbeelding van het benzine motorrijtuig nr. BC 1909 (omBC, serie 1904-1910) van de N.S. te Groningen.","Afbeelding behoort tot de Collectie De Pater. De foto bevindt zich ook in het archief NS Materieel & Werkplaatsen, toegangnummer 955, inv. nr. 747.  ","","","01-09-1932","30-09-1932","Publiek Domein 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 13 cm","hoogte 18 cm"
"37801E71E4F950B1973BE99CBCE5ED5D","164328","Gezicht op de spoorlijn ter hoogte van Schinnen, tijdens werkzaamheden ten behoeve van de electrificatie.","Afbeelding behoort tot de Collectie De Pater.  ","","https://commons.wikimedia.org/wiki/Category:064_Sittard-Heerlen|https://commons.wikimedia.org/wiki/Category:Railway_lines_in_the_Netherlands_by_Geocode","12-04-1949","12-04-1949","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 16 cm","hoogte 22 cm"
"F47B97B6E5C1585FAE94E3E116595075","154775","Afbeelding van een bedieningskastje bij de schakelkast voor het spoor te Hilversum. N.B. Vermoedelijk gaat het om een apparaat voor opleidingsdoeleinden dat de principes van de werking van lichtseinen moet simuleren. De sporensituatie op het apparaat komt niet overeen met station Hilversum.","  ","","https://commons.wikimedia.org/wiki/Category:528_Hilversum|https://commons.wikimedia.org/wiki/Category:Station_Hilversum","24-03-1961","24-03-1961","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"F313C5E22E115351AD0470DACF0C31C4","150655","Gezicht op het N.S.-station Sappemeer Oost te Sappemeer .","  ","","https://commons.wikimedia.org/wiki/Category:004_Waterhuizen_Aansluiting-Zuidbroek|https://commons.wikimedia.org/wiki/Category:Railway_lines_in_the_Netherlands_by_Geocode|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","01-12-1970","31-12-1970","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"3D8A90CDC8FA5FB4BAD2A98E9F535597","161930","Gezicht op het N.S.-station Putten te Putten.","Afbeelding behoort tot de Collectie De Pater. Putten (G.) 't Station ","","","01-01-1930","31-12-1940","Publiek Domein 1.0",,,,"breedte 13 cm","hoogte 8 cm"
"ED1E829E4F075EBC89223EBB26324F6A","163894","Afbeelding van een maquette van de voorgevel van het nieuwe N.S.-station Vlissingen te Vlissingen.","Afbeelding behoort tot de Collectie De Pater.  ","","","24-12-1949","24-12-1949","CC0 1.0","Nederlandse Spoorwegen","Schaik, W.P.F.M. van (Nederlandse Spoorwegen), fotograaf",,"breedte 23 cm","hoogte 8 cm"
"D2048A6F3E2F5CCF840266BAF916812F","159397","Interieur van de lijnwerkplaats van de N.S. te Onnen met enkele electrische treinstellen mat. 1954.","  ","","","01-09-1985","30-09-1985","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
